"Članica";"Kratica";"Program";"Členitev";"Način";"Stopnja";"Letnik";"Spol";"Državljanstvo";"UTEZ"
"Fakulteta za elektrotehniko";"UL FE";"Elektrotehnika";"Avtomatika in informatika";"REDNI";"druga stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Elektrotehnika";"Avtomatika in informatika";"REDNI";"druga stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Elektrotehnika";"Elektroenergetika";"REDNI";"druga stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Elektrotehnika";"Elektroenergetika";"REDNI";"druga stopnja";"Prvi";"M";"SLOVENIJA";1
"Zdravstvena fakulteta";"UL ZF";"Delovna terapija";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Zdravstvena fakulteta";"UL ZF";"Radiološka tehnologija";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Zdravstvena fakulteta";"UL ZF";"Zdravstvena nega";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"BOSNA IN HERCEGOVINA";1
"Zdravstvena fakulteta";"UL ZF";"Delovna terapija";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Zdravstvena fakulteta";"UL ZF";"Delovna terapija";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Zdravstvena fakulteta";"UL ZF";"Delovna terapija";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Zdravstvena fakulteta";"UL ZF";"Zdravstvena nega";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Zdravstvena fakulteta";"UL ZF";"Zdravstvena nega";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Zdravstvena fakulteta";"UL ZF";"Zdravstvena nega";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Zdravstvena fakulteta";"UL ZF";"Delovna terapija";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Zdravstvena fakulteta";"UL ZF";"Zdravstvena nega";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Zdravstvena fakulteta";"UL ZF";"Delovna terapija";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Zdravstvena fakulteta";"UL ZF";"Delovna terapija";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Zdravstvena fakulteta";"UL ZF";"Delovna terapija";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Mehanika";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo";"Energetske, procesne in okoljske inženirske znanosti ";"REDNI";"tretja stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Predšolska vzgoja";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Poučevanje";"Poučevanje na razredni stopnji";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Specialna in rehabilitacijska pedagogika";"Ni členitve";"REDNI";"prva stopnja";"Četrti";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Socialna pedagogika";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Dvopredmetni učitelj";"Biologija - Kemija";"REDNI";"prva stopnja";"Četrti";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Specialna in rehabilitacijska pedagogika";"Posebne razvojne in učne težave";"REDNI";"druga stopnja";"Absolventi";"Ž";"REPUBLIKA SEVERNA MAKEDONIJA";1
"Pedagoška fakulteta";"UL PEF";"Specialna in rehabilitacijska pedagogika";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Specialna in rehabilitacijska pedagogika";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Razredni pouk";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Poučevanje";"Poučevanje na razredni stopnji";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Razredni pouk";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Predšolska vzgoja";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Razredni pouk";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"ITALIJA";1
"Pedagoška fakulteta";"UL PEF";"Predšolska vzgoja";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Pedagoška fakulteta";"UL PEF";"Predšolska vzgoja";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Akademija za likovno umetnost in oblikovanje";"UL ALUO";"Konserviranje in restavriranje likovnih del";"Konserviranje/restavriranje stenskih slik in kamna";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Akademija za likovno umetnost in oblikovanje";"UL ALUO";"Konserviranje in restavriranje likovnih del";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Akademija za likovno umetnost in oblikovanje";"UL ALUO";"Slikarstvo";"Slikarstvo";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Akademija za likovno umetnost in oblikovanje";"UL ALUO";"Oblikovanje vizualnih komunikacij";"Grafično oblikovanje";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Akademija za likovno umetnost in oblikovanje";"UL ALUO";"Oblikovanje vizualnih komunikacij";"Grafično oblikovanje";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Akademija za likovno umetnost in oblikovanje";"UL ALUO";"Oblikovanje vizualnih komunikacij";"Grafično oblikovanje";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Akademija za likovno umetnost in oblikovanje";"UL ALUO";"Oblikovanje vizualnih komunikacij";"Ilustracija";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Akademija za likovno umetnost in oblikovanje";"UL ALUO";"Industrijsko in unikatno oblikovanje";"Unikatno oblikovanje";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Kulturologija - Študije kultur in ustvarjalnosti";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"BOSNA IN HERCEGOVINA";1
"Fakulteta za družbene vede";"UL FDV";"Politologija - Javne politike in uprava";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Politologija - Študije politike in države";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SRBIJA";1
"Fakulteta za družbene vede";"UL FDV";"Komunikologija - Medijske in komunikacijske študije";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SRBIJA";1
"Fakulteta za družbene vede";"UL FDV";"Mednarodni odnosi";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SRBIJA";1
"Medicinska fakulteta";"UL MF";"Medicina";"Ni členitve";"REDNI";"druga stopnja";"Četrti";"M";"SLOVENIJA";1
"Medicinska fakulteta";"UL MF";"Medicina";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Medicinska fakulteta";"UL MF";"Medicina";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Medicinska fakulteta";"UL MF";"Dentalna medicina";"Ni členitve";"REDNI";"druga stopnja";"Peti";"Ž";"SLOVENIJA";1
"Medicinska fakulteta";"UL MF";"Medicina";"Ni členitve";"REDNI";"druga stopnja";"Tretji";"M";"SLOVENIJA";1
"Medicinska fakulteta";"UL MF";"Medicina";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Farmacija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Industrijska farmacija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Farmacija";"Ni členitve";"REDNI";"druga stopnja";"Četrti";"Ž";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Farmacija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Farmacija";"Ni členitve";"REDNI";"druga stopnja";"Četrti";"Ž";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Laboratorijska biomedicina";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Kozmetologija";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Laboratorijska biomedicina";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"REPUBLIKA SEVERNA MAKEDONIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"REPUBLIKA SEVERNA MAKEDONIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - projektno aplikativni program";"Snovanje in vzdrževanje letal";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Procesno strojništvo";"REDNI";"druga stopnja";"Prvi";"M";"SRBIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - projektno aplikativni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - projektno aplikativni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Gozdarstvo in upravljanje gozdnih ekosistemov";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Krajinska arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Gozdarstvo";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Gozdarstvo";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Gozdarstvo";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Biologija";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Ekologija in biodiverziteta";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Gozdarstvo in obnovljivi gozdni viri";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Gozdarstvo";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Sociologija";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Mednarodni odnosi";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Sociologija";"Študije družbenih sprememb in novih tveganj";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Novinarstvo";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Kulturologija - Študije kultur in ustvarjalnosti";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Visoka poslovna šola";"Poslovna informatika";"REDNI";"prva stopnja";"Drugi";"Ž";"TAJSKA";1
"Ekonomska fakulteta";"UL EF";"Visoka poslovna šola";"Poslovna informatika";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Računovodstvo in revizija";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Visoka poslovna šola";"Trženje";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Trženje";"REDNI";"prva stopnja";"Absolventi";"Ž";"FRANCIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Podjetništvo";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Trženje";"REDNI";"prva stopnja";"Drugi";"Ž";"REPUBLIKA SEVERNA MAKEDONIJA";1
"Ekonomska fakulteta";"UL EF";"Visoka poslovna šola";"Trženje";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Mednarodno poslovanje";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Visoka poslovna šola";"Bančni in finančni management";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Naravoslovnotehniška fakulteta";"UL NTF";"Grafična in medijska tehnika";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Naravoslovnotehniška fakulteta";"UL NTF";"Geologija";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Naravoslovnotehniška fakulteta";"UL NTF";"Grafična in medijska tehnika";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Naravoslovnotehniška fakulteta";"UL NTF";"Grafična in medijska tehnika";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Naravoslovnotehniška fakulteta";"UL NTF";"Grafične in interaktivne komunikacije";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SRBIJA";1
"Naravoslovnotehniška fakulteta";"UL NTF";"Tekstilno in oblačilno inženirstvo";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Naravoslovnotehniška fakulteta";"UL NTF";"Grafične in interaktivne komunikacije";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Naravoslovnotehniška fakulteta";"UL NTF";"Grafične in interaktivne komunikacije";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Naravoslovnotehniška fakulteta";"UL NTF";"Grafična in medijska tehnika";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Naravoslovnotehniška fakulteta";"UL NTF";"Grafična in medijska tehnika";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Veterinarska fakulteta";"UL VF";"Veterinarstvo";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Veterinarska fakulteta";"UL VF";"Veterinarstvo";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Kulturologija - Študije kultur in ustvarjalnosti";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Komunikologija - Tržno komuniciranje in odnosi z javnostmi";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Obramboslovje";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"REPUBLIKA SEVERNA MAKEDONIJA";1
"Fakulteta za družbene vede";"UL FDV";"Komunikologija - Medijske in komunikacijske študije";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Arheologija";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Arheologija";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Arheologija";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Anglistika";"Anglistika - enopredmetna smer";"REDNI";"prva stopnja";"Tretji";"Ž";"BOSNA IN HERCEGOVINA";1
"Filozofska fakulteta";"UL FF";"Pedagogika in andragogika";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za računalništvo in informatiko";"UL FRI";"Računalništvo in informatika";"Računalništvo in informatika";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Fakulteta za računalništvo in informatiko";"UL FRI";"Multimedija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za računalništvo in informatiko";"UL FRI";"Računalništvo in informatika";"Računalništvo in informatika";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Četrti";"M";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Športna vzgoja";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Športna vzgoja";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Športna vzgoja";"Ni členitve";"IZREDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Kineziologija";"Kinezioterapija";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Veterinarska fakulteta";"UL VF";"Veterinarstvo";"Ni členitve";"REDNI";"druga stopnja";"Peti";"Ž";"SLOVENIJA";1
"Veterinarska fakulteta";"UL VF";"Veterinarstvo";"Ni členitve";"REDNI";"druga stopnja";"Četrti";"Ž";"SLOVENIJA";1
"Veterinarska fakulteta";"UL VF";"Veterinarstvo";"Ni členitve";"REDNI";"druga stopnja";"Šesti";"Ž";"SLOVENIJA";1
"Veterinarska fakulteta";"UL VF";"Veterinarstvo";"Ni členitve";"REDNI";"druga stopnja";"Šesti";"Ž";"SLOVENIJA";1
"Veterinarska fakulteta";"UL VF";"Veterinarstvo";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Veterinarska fakulteta";"UL VF";"Veterinarstvo";"Ni členitve";"REDNI";"druga stopnja";"Četrti";"Ž";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Četrti";"Ž";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Tretji";"M";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Urbanizem";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Peti";"Ž";"SLOVENIJA";1
"Fakulteta za arhitekturo";"UL FA";"Arhitektura";"Ni členitve";"REDNI";"druga stopnja";"Četrti";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Kmetijstvo - agronomija";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Biologija";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Živilstvo";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Krajinska arhitektura";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Mikrobiologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SRBIJA";1
"Biotehniška fakulteta";"UL BF";"Živilstvo in prehrana";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"REPUBLIKA SEVERNA MAKEDONIJA";1
"Biotehniška fakulteta";"UL BF";"Živilstvo in prehrana";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Agronomija";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Kmetijstvo - živinoreja";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Biotehnologija";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Bioznanosti";"Agronomija";"IZREDNI";"tretja stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Mikrobiologija";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"BOLGARIJA";1
"Biotehniška fakulteta";"UL BF";"Agronomija";"Ni členitve";"REDNI";"druga stopnja";"Prvi";"M";"SRBIJA";1
"Biotehniška fakulteta";"UL BF";"Kmetijstvo - agronomija";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Živilstvo";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Elektrotehnika";"Elektronika";"REDNI";"druga stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Elektrotehnika";"Elektronika";"REDNI";"druga stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Elektrotehnika";"Elektronika";"REDNI";"druga stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Elektrotehnika";"Elektronika";"REDNI";"druga stopnja";"Prvi";"Ž";"REPUBLIKA SEVERNA MAKEDONIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Elektrotehnika";"Elektronika";"REDNI";"druga stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Elektrotehnika";"Informacijsko komunikacijske tehnologije";"REDNI";"druga stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Elektrotehnika";"Mehatronika";"REDNI";"druga stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Elektrotehnika";"Mehatronika";"REDNI";"druga stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Elektrotehnika";"Mehatronika";"REDNI";"druga stopnja";"Prvi";"M";"SLOVENIJA";1
